hdf5_path,demo_id,environment,onset_idx,peak_idx,post_idx,action,grip_type,object_name,object_category,grip_type_grouped
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p2.hdf5,demo_020,hardware_homedepot_p2,31,97,110,picking up,Fixed Hook,5-gallon joint compound bucket (bail handle),container,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_087,home_bedroom,63,89,94,inserting,Tip Pinch,camera battery charger,charger,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p1.hdf5,demo_03,hardware_homedepot_p1,382,444,447,picking up,Small Diameter,folding step stool handle,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_316,office_ml_p1,49,71,71,pushing,Medium Wrap,office chair armrest,chair,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p2.hdf5,demo_38,grocery_target_p2,13,14,92,picking up,Prismatic 3 Finger,plastic cleaner bottle from shelf,bottle,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p2.hdf5,demo_048,hardware_homedepot_p2,5,9,94,grasping,Small Diameter,yellow corded power drill,power tool,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_165,hardware_homedepot_p5,10,13,56,picking up,Prismatic 2 Finger,wooden slat,construction material,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_002,office_ml_p1,6,9,52,pressing,Index Finger Extension,lava lamp,light,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_014,office_ml_p2,78,152,162,plugging in,Prismatic 3 Finger,wall power plug,plug,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_56,fablab_ml_p2,13,14,269,picking up,Tip Pinch,wooden craft stick,stick,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_262,office_ml_p2,5,13,28,pressing,Adducted Thumb,office chair adjustment button,button,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_088,hardware_homedepot_p3,30,151,161,picking up,Tip Pinch,metal hasp,hardware,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_158,office_ml_p2,55,110,115,pressing,Palmar,spiky stress ball,ball,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_136,office_ml_p2,31,73,74,adjusting,Prismatic 2 Finger,computer monitor,monitor,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_012,home_kitchen_p1,8,14,70,picking up,Tip Pinch,stainless steel pot lid,component,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_147,office_ml_p2,30,67,73,switching on,Tip Pinch,power strip rocker switch,switch,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p2.hdf5,demo_071,office_csail_p2,21,60,61,pulling,Prismatic 2 Finger,wooden cabinet door,cabinet,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_128,grocery_target_p1,5,11,45,picking up,Palmar,striped throw pillow,fabric,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_066,hardware_homedepot_p3,8,12,29,picking up,Prismatic 2 Finger,black door pull handle,handle,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_48,grocery_plant,144,177,185,picking up,Tip Pinch,small alien figurine,toy,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_070,office_ml_p1,6,14,56,typing,Parallel Extension,compact wireless keyboard,keyboard,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p2.hdf5,demo_063,hardware_homedepot_p2,101,160,162,placing,Prismatic 2 Finger,carpenter pencil,pencil,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p2.hdf5,demo_49,grocery_target_p2,30,63,65,holding,Small Diameter,pink plastic tongs,utensil,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_82,fablab_ml_p1,161,227,236,picking up,Prismatic 2 Finger,red-handled screwdriver,hand tool,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p2.hdf5,demo_102,office_csail_p2,61,90,91,holding,Small Diameter,tripod leg (telescopic pole),stick,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_075,hardware_homedepot_p3,35,76,88,testing,Tip Pinch,cabinet latch display piece,hardware,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_116,hardware_homedepot_p5,26,39,46,turning,Precision Disk,stove control knob,knob,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_119,office_ml_p2,32,61,71,moving,Fixed Hook,red lounge chair,chair,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p3.hdf5,demo_03,fablab_ml_p3,46,60,71,picking up,Small Diameter,slim steel rod hand tool from wall tool board,hand tool,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p2.hdf5,demo_098,hardware_homedepot_p2,25,60,61,inspecting,Tip Pinch,wooden shim,construction material,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/eat_mcdonalds.hdf5,demo_44,eat_mcdonalds,20,39,41,adjusting,Tip Pinch,plastic straw in soda cup,drinkware,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_078,hardware_homedepot_p3,42,118,125,pressing,Index Finger Extension,shelf-mounted push button module,button,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p3.hdf5,demo_12,home_kitchen_p3,18,53,56,lifting,Medium Wrap,frying pan handle,pan,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_072,hardware_homedepot_p3,5,12,90,inspecting,Small Diameter,door pull handle sample,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p2.hdf5,demo_05,home_kitchen_p2,8,14,91,picking up,Prismatic 2 Finger,ceramic mug with blue pattern,mug,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p3.hdf5,demo_17,home_kitchen_p3,37,155,157,unscrewing,Precision Disk,milk carton,dairy product,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_145,home_kitchen_p1,33,72,74,pushing,Palmar,kitchen cabinet door,cabinet,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_88,fablab_ml_p2,46,137,144,moving,Medium Wrap,rolling office chair,chair,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_110,home_kitchen_p1,53,94,102,removing,Palmar Pinch,bag of frozen vegetables,packaged food,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_003,office_ml_p1,42,63,71,moving,Medium Wrap,office chair,chair,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_070,hardware_homedepot_p3,11,13,28,turning,Small Diameter,door lever handle,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_123,office_ml_p2,109,189,190,pulling,Prismatic 3 Finger,mini refrigerator door,refrigerator,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_325,office_ml_p1,20,70,78,pushing,Palmar,metal desk pedestal bottom drawer,drawer,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_122,office_ml_p2,10,14,221,wiping,Prismatic 4 Finger,whiteboard eraser,cleaning item,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_143,hardware_homedepot_p5,29,45,49,touching,Index Finger Extension,crystal pendant light,light,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_020,office_ml_p2,5,49,58,rotating,Prismatic 2 Finger,computer monitor,monitor,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/eat_mcdonalds.hdf5,demo_20,eat_mcdonalds,76,114,116,grasping,Tip Pinch,plastic drink cup with straw,cup,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_064,grocery_target_p1,23,55,56,pressing,Index Finger Extension,display shelf push button,button,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_16,fablab_ml_p1,5,70,74,adjusting,Prismatic 3 Finger,digital caliper,measuring tool,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_144,office_ml_p2,27,44,52,adjusting,Prismatic 2 Finger,under-desk footrest,unknown object,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_238,office_ml_p1,37,57,58,tapping,Index Finger Extension,printed document,paper,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_066,office_ml_p2,18,36,41,picking up,Prismatic 3 Finger,handheld laser distance meter,measuring tool,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p1.hdf5,demo_062,office_csail_p1,38,67,67,grasping,Prismatic 2 Finger,Chewy granola bars box,box,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_15,fablab_ml_p1,49,87,92,picking up,Prismatic 3 Finger,digital calipers,measuring tool,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p1.hdf5,demo_25,hardware_homedepot_p1,27,73,80,pushing,Small Diameter,orange folding safety gate,hardware,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_013,home_bedroom,10,14,26,picking up,Tip Pinch,pair of jeans,clothing item,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_046,grocery_target_p1,26,55,62,pinching,Tip Pinch,wooden cooking spoon,utensil,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_44,grocery_plant,31,55,56,placing,Tip Pinch,glass pinecone ornament,unknown object,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p2.hdf5,demo_086,office_csail_p2,31,54,55,pushing,Index Finger Extension,KIND snack bars box,packaged food,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_071,grocery_target_p1,64,89,92,placing,Small Diameter,brass flour sifter,utensil,Small Diameter
